match_id,player_id,date,average,average_last4,dismissal_rate,dismissal_rate_last4,av_n,dr_n
9226,8173,2018-04-28,inf,inf,,,1.0,0.0
17148,8297,2018-04-28,22.82608695652174,48.0,inf,inf,18.0,1.0
17148,8299,2018-04-28,22.93548387096774,25.5,20.0,20.0,21.0,1.0
17148,8300,2018-04-28,25.32,18.0,inf,inf,19.0,1.0
17148,8302,2018-04-28,17.642857142857142,20.8,62.0,62.0,15.0,1.0
17148,8303,2018-04-28,30.384615384615383,13.166666666666666,,,15.0,0.0
17148,8305,2018-04-28,,,,,0.0,0.0
15448,8314,2018-04-28,39.0,31.25,14.0,14.0,15.0,1.0
15448,8315,2018-04-28,19.162790697674417,14.833333333333334,75.0,75.0,21.0,2.0
15448,8316,2018-04-28,,,,,0.0,0.0
15448,8317,2018-04-28,16.15,23.5,96.0,96.0,21.0,2.0
15448,8319,2018-04-28,,,,,0.0,0.0
17148,8322,2018-04-28,inf,inf,,,1.0,0.0
17148,8324,2018-04-28,25.5,25.5,,,5.0,0.0
17148,8326,2018-04-28,33.1875,28.5,32.0,32.0,20.0,1.0
17148,8327,2018-04-28,56.333333333333336,inf,,,9.0,0.0
17148,8328,2018-04-28,23.142857142857142,44.0,52.0,52.0,17.0,1.0
17148,8330,2018-04-28,42.166666666666664,51.0,,,10.0,0.0
17148,8331,2018-04-28,19.235294117647058,18.6,30.5,30.5,19.0,1.0
17148,8332,2018-04-28,21.61764705882353,9.8,11.25,11.25,25.0,1.0
13583,8385,2018-04-28,26.125,23.0,19.0,19.0,20.0,1.0
13583,8386,2018-04-28,,,,,0.0,0.0
11172,8540,2018-04-28,19.522727272727273,8.0,10.333333333333334,10.333333333333334,28.0,1.0
11172,9093,2018-04-28,18.0,19.25,,,12.0,0.0
11172,9244,2018-04-28,17.125,13.857142857142858,22.5,22.5,9.0,1.0
11172,9245,2018-04-28,15.404761904761905,9.0,15.5,15.5,25.0,1.0
11172,9246,2018-04-28,17.757575757575758,21.4,48.0,48.0,20.0,1.0
11172,9247,2018-04-28,inf,inf,,,1.0,0.0
9226,9260,2018-04-28,37.0625,71.5,87.0,87.0,19.0,2.0
9226,9267,2018-04-28,,,,,0.0,0.0
11172,9275,2018-04-28,57.666666666666664,37.0,29.0,29.0,5.0,1.0
15448,9338,2018-04-28,44.94736842105263,24.166666666666668,30.666666666666668,30.666666666666668,23.0,2.0
15448,9339,2018-04-28,54.714285714285715,40.5,,,20.0,0.0
15448,9340,2018-04-28,23.0,31.6,30.0,30.0,25.0,2.0
7990,9367,2018-04-28,14.344262295081966,11.875,18.333333333333332,18.333333333333332,28.0,2.0
7990,9368,2018-04-28,14.547619047619047,15.333333333333334,34.333333333333336,34.333333333333336,26.0,2.0
7990,9369,2018-04-28,25.0,25.0,,,1.0,0.0
7990,9370,2018-04-28,23.105263157894736,60.5,inf,inf,23.0,1.0
7990,9371,2018-04-28,inf,inf,,,1.0,0.0
7990,9373,2018-04-28,,,,,0.0,0.0
7990,9392,2018-04-28,49.75,36.333333333333336,,,9.0,0.0
7990,9394,2018-04-28,13.673913043478262,12.125,18.5,18.5,27.0,2.0
7990,9395,2018-04-28,16.75,16.75,16.25,16.25,2.0,1.0
7990,9397,2018-04-28,14.604651162790697,21.75,47.0,47.0,21.0,2.0
15448,9442,2018-04-28,,,,,0.0,0.0
15448,9444,2018-04-28,31.0,31.0,67.0,67.0,2.0,2.0
15448,9445,2018-04-28,10.5,10.5,19.75,19.75,2.0,2.0
17148,10274,2018-04-28,inf,inf,,,1.0,0.0
